                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1508,                 3.4578,                 4.1847,                0.00465,                0.68396,                0.01496,                0.00677,                 2.7934,                 3.4634,                 4.1202,                0.00056,                0.00056,                0.00056
                      1,                 3.0905,                 3.3411,                 3.9978,                0.00453,                0.67793,                0.05479,                0.01887,                 2.7764,                 3.6365,                 3.9839,              0.0011174,              0.0011174,              0.0011174
                      2,                 3.0191,                  3.249,                 3.7031,                0.01845,                0.52593,                0.07855,                0.02482,                 2.8547,                 3.3285,                 3.8568,              0.0016519,              0.0016519,              0.0016519
                      3,                 2.9773,                  3.168,                 3.5504,                0.08617,                 0.2304,                 0.0439,                0.01493,                 2.7044,                 3.6296,                 3.6613,              0.0018812,              0.0018812,              0.0018812
                      4,                 2.8106,                 3.1154,                 3.3748,                0.04956,                0.43667,                 0.0496,                 0.0168,                 2.6215,                 3.0408,                 3.5789,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.6421,                  2.994,                 3.1965,                0.01013,                0.39204,                0.00836,                  0.003,                 2.6976,                 8.1816,                  3.592,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.6587,                 2.9962,                 3.1427,                0.04575,                0.27141,                0.02761,                0.00847,                 2.6263,                 4.0397,                 3.4435,               0.001802,               0.001802,               0.001802
                      7,                 2.5206,                 2.9611,                 3.0517,                0.06726,                0.08203,                0.04511,                0.01246,                 2.5023,                 3.3645,                  3.263,              0.0017624,              0.0017624,              0.0017624
                      8,                  2.444,                 2.7962,                 2.9689,                0.10721,                0.34017,                0.07187,                0.02342,                 2.4122,                 3.7161,                 3.1075,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.3855,                 2.7752,                 2.9459,                0.28338,                0.34741,                0.22316,                0.07221,                 2.3101,                 2.9562,                 3.0221,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.3213,                 2.6918,                  2.843,                0.30726,                0.34017,                0.21273,                0.06619,                 2.2945,                 2.9521,                 3.0353,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.3141,                 2.6273,                 2.8033,                0.29851,                0.28951,                0.20268,                0.07109,                 2.2366,                  2.705,                 3.0097,               0.001604,               0.001604,               0.001604
                     12,                 2.1834,                 2.5777,                 2.7603,                0.18558,                0.34982,                0.12654,                0.04276,                 2.1553,                 3.2849,                 2.8292,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.0988,                 2.4947,                 2.6713,                0.33913,                0.30157,                0.22812,                0.09462,                 2.2348,                 2.8212,                 3.0075,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.0935,                 2.5045,                 2.6508,                0.33887,                0.33172,                0.23063,                0.09062,                 2.1042,                  2.758,                 2.7942,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.0241,                 2.4104,                 2.5866,                0.24974,                0.39928,                0.20656,                0.07576,                  2.028,                 2.6386,                 2.6755,              0.0014456,              0.0014456,              0.0014456
